e,name,sum,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32,c33,c34,c35,c36,c37,c38,c39,c40,c41,c42,c43,c44,c45,c46,c47,c48,c49,c50,c51,c52,c53,c54,c55,c56,c57,c58,c59,c60,c61,c62,c63,c64,c65,c66,c67,c68,c69,c70,c71,c72,c73,c74,c75,c76,c77,c78,c79,c80,c81,c82,c83,c84,c85,c86,c87,c88,c89,c90,c91,c92,c93,c94,c95,c96,c97,c98,c99,c100,c101,c102,c103,c104,c105,c106,c107,c108,c109,c110,c111,c112,c113,c114,c115,c116,c117,c118,c119,c120,c121,c122
1003,Menaldumadeel,230,0,9,9,4,1,4,1,0,-3,-3,-2,0,3,3,1,1,1,1,1,-3,-2,3,-2,9,1,9,1,2,9,-1,9,9,-3,9,4,3,3,1,-1,4,1,1,0,-1,4,-3,1,0,4,4,4,0,3,1,1,-2,-1,-1,1,4,1,-3,-2,0,3,1,1,9,-2,-2,9,9,0,-2,-1,3,1,9,9,1,4,0,4,-2,2,-2,1,3,4,0,2,4,9,-2,4,4,-2,-2,0,-3,1,9,-1,2,2,-3,0,0,3,0,0,9,3,1,4,0,1,4,4,0,3,0
1004,Nijefurd,262,1,1,4,9,9,1,1,-3,4,3,1,9,3,4,9,9,4,1,-1,-2,0,2,1,9,9,4,3,-1,0,-2,-1,-2,4,-2,-3,9,9,9,-2,1,-3,1,0,9,-2,3,-3,0,0,1,1,1,1,0,0,0,4,-3,0,2,0,-1,-3,9,3,-1,-3,0,4,-3,1,3,0,0,9,2,0,3,-1,-2,1,4,2,2,1,0,9,4,1,0,-3,4,4,9,1,4,4,-3,1,1,-1,9,4,1,1,9,9,-1,0,9,1,4,9,-3,1,4,3,0,4,4,2,1
1005,Ooststellingwerf,289,1,-1,1,-3,1,4,1,4,4,9,9,9,0,-2,4,4,9,-3,9,0,-1,-2,0,2,-1,0,0,3,-1,0,3,-3,4,4,1,2,1,4,0,1,0,9,1,1,1,-3,3,3,9,-2,-3,4,0,4,2,1,2,9,2,4,1,2,9,3,9,1,2,1,-2,9,-1,-2,1,4,4,4,-1,9,9,1,0,-3,9,1,-3,1,4,4,0,-1,0,3,-3,9,0,0,9,4,1,1,1,1,4,9,9,9,1,1,0,9,1,9,4,-3,4,0,4,1,-1,-1,3,1
1006,Opsterland,282,9,-3,0,0,-2,4,3,-1,-3,9,1,-3,0,3,-1,-3,4,0,9,4,-1,4,-2,9,1,4,1,1,4,1,-1,1,-1,1,0,1,4,3,9,0,4,-1,0,9,2,9,3,-2,1,0,1,4,9,4,9,1,3,1,1,9,-2,-2,1,1,-1,9,9,-3,9,2,-3,0,3,4,0,9,2,-3,2,9,-2,2,4,1,-2,9,4,3,4,2,9,0,4,-2,1,2,1,-2,0,0,4,9,3,4,9,1,-1,-1,0,0,1,9,9,2,4,9,0,1,1,-1,1,-2
1007,Schiermonnikoog,224,0,2,2,-3,-3,-1,-1,1,4,1,0,-1,4,1,4,1,4,9,0,9,0,4,1,9,-2,2,-3,3,-2,4,0,-1,-3,9,1,4,-3,-1,9,-2,-1,-1,-2,3,9,1,1,4,1,9,4,9,3,2,3,-1,9,2,-2,-2,9,0,1,-3,9,4,-1,0,-1,1,0,3,-2,-1,9,-1,1,9,9,0,1,-2,9,1,0,-3,-1,-2,0,-1,4,9,4,0,1,9,2,4,4,-3,2,4,1,0,9,4,3,0,0,-3,0,2,3,1,0,-1,0,4,1,1,-2,0
1009,Smallingerland,229,1,1,9,2,2,1,-3,-3,1,4,1,9,-3,4,4,9,1,3,-1,1,0,-1,-1,4,1,1,1,4,1,0,0,3,1,9,1,-2,1,0,3,-1,-3,9,0,3,0,1,1,1,1,4,-3,0,1,9,0,-2,-2,4,-3,9,2,0,2,2,4,-3,9,0,4,1,-2,0,2,-3,1,2,0,0,3,4,-3,-2,9,2,4,-2,9,-1,-1,9,4,1,9,-2,-3,0,1,4,3,9,-3,2,9,2,4,9,3,4,-1,3,1,4,2,1,1,0,-1,9,1,3,0,0
1010,Sneek,221,1,3,4,1,4,0,-3,-1,1,1,9,9,1,0,4,4,-3,4,0,4,9,1,1,9,4,9,1,2,-3,1,9,4,0,-2,2,3,0,-3,1,-3,0,-1,1,-3,0,4,2,4,1,-1,9,-2,9,9,4,-2,1,1,2,0,0,-1,0,2,0,-2,4,1,3,9,2,1,-3,1,-3,4,-1,9,-1,0,-1,1,2,9,0,-2,0,1,1,9,1,-3,2,1,-1,-1,-1,-1,1,4,-3,-3,2,0,4,1,0,0,1,2,9,2,2,0,3,9,4,-1,4,4,4,4
1011,Terschelling,277,9,-1,3,1,-3,-2,3,3,1,9,-2,2,-2,4,2,4,1,0,9,9,-3,1,9,2,4,0,1,0,4,-2,4,-3,1,1,-1,0,-2,9,1,9,-3,0,1,1,0,-3,1,9,9,4,-2,-2,9,3,4,0,9,4,-2,1,4,9,1,0,0,0,1,9,3,4,2,1,9,1,1,-1,1,9,4,2,0,1,1,0,9,9,-3,1,1,2,4,-3,-3,-2,4,3,3,1,0,3,0,4,9,-2,1,0,2,1,1,-3,1,1,4,3,9,9,1,9,-1,0,0,9
1012,Tytsjerksteradiel,217,1,0,-1,1,-2,4,1,1,9,0,0,2,1,2,1,4,9,9,1,2,4,-1,3,-3,-1,0,-2,4,1,2,-3,-1,0,0,1,-2,2,3,-3,1,-2,1,1,3,1,-3,0,0,1,-3,1,3,1,9,0,1,-3,1,9,4,4,0,0,1,4,1,2,1,4,-3,9,1,-3,4,2,2,0,9,-2,0,2,1,2,2,9,2,1,9,1,3,1,9,1,2,0,4,3,0,1,-3,1,4,9,3,4,9,2,3,-1,1,0,-2,4,-3,1,4,1,9,2,-2,9,-2
1013,Vlieland,197,4,4,1,4,-3,1,-1,0,1,3,-2,1,4,9,1,3,2,2,-1,-2,3,1,-2,3,0,3,-3,-1,9,-1,9,-3,9,1,4,-2,-3,1,3,1,0,9,-1,4,1,0,-2,-1,9,1,1,9,9,0,0,0,1,2,-2,2,0,-2,1,0,1,4,1,0,3,4,1,9,0,1,0,-2,0,0,4,4,9,1,0,0,-2,3,2,1,3,2,4,2,0,-2,1,1,-1,1,9,2,4,-3,9,-3,9,1,1,2,0,-3,0,1,1,9,-3,0,2,4,-2,-2,0,0
1014,Weststellingwerf,199,-1,2,4,3,1,-2,4,0,0,2,0,1,4,1,1,1,0,-2,3,-2,4,1,2,3,-1,3,0,-1,1,0,3,4,2,9,-1,-2,1,0,-1,4,1,-3,0,0,1,-3,3,1,0,9,2,3,0,3,-3,-2,9,4,9,4,0,0,-2,4,-2,0,1,3,-3,-2,1,9,9,9,1,0,0,-2,4,3,2,0,4,4,3,0,-3,4,-3,1,1,1,4,3,4,1,9,1,9,0,0,1,-2,9,2,2,3,3,9,4,0,-2,-2,4,2,1,-2,-2,0,2,1,-1
1016,Wymbritseradiel,261,1,9,0,-3,9,9,-3,1,3,1,9,2,2,9,9,-1,1,2,0,2,-2,9,4,0,1,-3,0,0,3,0,-1,-3,-3,9,9,9,4,9,1,-3,9,0,1,1,-1,-1,-1,9,-1,9,2,0,4,9,1,-3,-1,9,0,-2,1,-2,0,1,9,3,1,9,4,0,9,1,1,-1,4,-1,-2,-3,9,-1,-2,4,-2,-3,3,4,-3,1,-1,1,-3,9,4,9,0,4,0,-3,3,-1,-1,9,9,9,0,1,-1,9,0,-2,-2,1,4,3,4,1,1,1,0,0,-1,1
1017,Aalten,243,4,9,1,9,1,-3,0,4,2,4,0,1,4,1,0,1,0,3,-3,-2,0,0,2,1,3,9,0,-2,1,-3,2,4,2,-1,3,2,1,9,1,1,0,-2,-2,9,0,9,2,9,9,-2,1,1,0,4,9,4,1,-2,-1,-2,4,2,-1,-2,9,9,9,4,4,-1,4,-3,0,9,3,-1,9,1,-2,0,2,0,9,0,4,1,0,2,1,-3,3,-1,9,4,9,1,9,4,1,-2,1,-2,4,1,0,0,1,3,4,-3,4,-2,4,2,2,1,1,-1,0,-3,-3,1
1018,Angerlo,241,1,1,3,0,9,0,-3,-2,0,-1,0,4,9,2,3,4,-2,3,-2,-2,-2,-2,9,1,-1,-3,0,4,1,1,-1,3,4,9,9,4,3,2,4,1,9,-3,2,1,4,4,1,-1,1,-2,0,-3,4,-3,9,1,-2,9,9,-2,-2,9,1,3,1,1,1,-3,9,2,3,1,0,1,1,1,1,1,1,1,1,3,1,3,2,4,1,9,1,0,1,9,2,-3,-1,4,-1,1,0,-1,9,1,0,1,2,4,3,9,9,-2,0,1,1,2,1,4,4,1,4,1,4,2
1019,Apeldoorn,232,9,4,9,1,1,-1,0,1,4,-3,1,1,1,-3,4,0,9,4,-2,1,9,2,3,4,0,-1,0,2,1,1,9,1,2,3,-1,4,3,1,-2,4,3,-1,-1,0,-1,4,0,-2,-2,0,1,-1,9,9,1,9,2,4,2,-3,9,1,-3,-3,2,1,3,0,-3,0,-1,1,9,9,3,1,0,0,-3,-1,0,2,3,0,0,1,0,-2,9,3,1,-3,0,9,2,1,3,0,1,2,4,0,-3,1,9,1,4,0,9,9,3,2,1,0,0,2,-1,1,1,3,1,9
1020,Arnhem,251,1,1,1,2,1,4,4,2,9,1,1,1,2,9,4,-3,0,9,9,9,1,-3,9,0,-2,0,4,3,3,3,-1,0,9,3,0,-2,0,-2,1,-1,0,1,1,1,9,1,4,0,0,4,0,-1,2,9,9,-2,0,0,-3,-3,1,4,4,9,4,1,-2,4,2,-3,9,3,2,-3,-1,4,-3,9,0,0,-2,2,0,-2,2,9,1,2,1,0,0,-1,0,-3,9,-1,1,1,9,0,0,-3,4,9,-2,4,0,1,9,4,1,1,9,4,9,1,-2,1,3,4,1,-3
1021,Barneveld,282,-1,9,-2,-1,9,-3,-1,4,4,2,4,9,3,-3,9,4,4,0,2,-2,9,1,4,0,1,4,1,0,9,9,4,9,9,1,0,-3,3,0,0,4,9,1,1,1,4,9,2,-3,9,2,4,9,-3,9,9,0,9,-3,1,1,3,-3,0,-1,0,-2,9,1,-2,4,4,1,9,-1,1,2,-1,4,-2,-2,1,0,9,0,1,-3,-2,9,9,0,-1,9,-3,9,2,1,-2,2,3,1,4,1,4,-2,1,-3,1,1,-3,1,3,-3,-3,2,1,4,-2,1,9,9,4,-3
1022,Bergh,210,1,1,-2,0,-1,2,9,0,-3,0,0,1,4,1,0,-1,-3,4,0,2,3,4,0,-2,4,-1,-1,3,2,2,1,1,-2,-2,2,0,-1,2,1,4,2,-2,9,0,4,2,2,-2,0,3,0,0,2,9,0,2,-2,-1,0,0,4,1,3,2,4,0,1,4,2,1,3,1,1,2,1,1,4,9,4,1,0,-1,9,1,-2,1,4,1,2,4,0,4,1,1,-1,2,9,-3,0,4,0,4,0,0,1,9,9,1,4,9,1,9,1,4,-1,1,0,1,2,9,1,-3
1023,Beuningen,275,1,1,9,1,-3,1,3,1,9,1,0,4,0,1,1,0,-1,9,0,3,9,3,1,4,0,4,1,2,3,1,1,9,0,2,1,-3,9,9,1,0,9,-1,4,-2,1,1,-2,2,-2,1,2,3,4,3,1,1,9,1,3,1,3,4,3,4,9,9,1,1,9,4,2,9,0,0,0,9,4,2,4,4,4,0,-3,-2,4,4,-1,1,3,1,-3,0,4,-3,1,2,4,3,0,9,0,4,1,4,0,-1,0,-1,0,3,-2,-3,1,-3,2,0,4,4,9,1,9,-3
1024,Borculo,172,4,0,4,1,4,-3,2,1,0,-3,4,-2,-2,-2,1,1,-2,4,1,4,0,-1,0,-3,-2,3,2,0,0,4,4,-2,-2,-1,0,9,0,-3,2,9,0,4,-2,1,1,4,1,-2,-3,-1,3,3,4,4,4,2,-3,2,-1,0,4,0,0,-1,9,0,9,3,1,0,4,2,-3,0,-1,4,1,0,1,3,-2,1,-3,1,-3,-1,1,-3,-1,-2,0,-1,2,9,0,-3,4,4,3,0,4,9,1,0,-2,9,1,1,0,0,4,1,4,4,9,3,2,0,1,4,9,9
1025,De Oosterpoort,207,1,3,4,4,3,1,4,2,-2,4,1,-1,2,4,1,-1,-1,-1,9,4,0,4,4,9,4,-1,1,-3,2,-2,-1,3,9,1,3,9,1,-2,1,9,-3,4,0,4,1,1,4,0,1,1,9,-2,1,-3,-2,9,1,4,-3,0,1,3,2,-2,-1,0,0,3,9,9,-2,1,1,-2,1,3,9,0,0,-2,1,-2,1,0,2,9,4,1,1,0,1,-1,-3,-1,0,1,4,3,2,0,3,1,-1,1,1,2,0,9,2,-1,1,0,-3,-2,1,2,1,1,1,3,1,9
1026,O'Ceallaigh,271,-3,4,3,1,4,9,0,4,4,-3,0,4,3,3,9,0,1,3,1,1,0,4,4,4,3,9,-2,-3,0,-2,-3,-1,4,0,4,0,4,-1,4,1,-2,0,9,9,-3,1,4,1,9,-1,-1,2,9,1,0,0,1,9,0,0,3,1,1,1,4,1,4,1,-2,9,-2,-3,9,3,9,9,-2,1,0,-2,9,1,1,-2,-1,1,1,-1,9,-1,0,9,3,2,1,1,2,9,-2,3,4,0,4,2,1,4,0,9,1,-1,0,-1,4,4,9,1,4,-1,-2,9,4,1
1027,Four Rose's,313,4,9,-1,2,0,1,9,1,2,-1,9,0,9,2,-1,2,9,-2,4,4,4,0,9,1,4,-1,4,4,0,9,9,-2,1,4,1,-3,1,9,0,-2,1,1,0,-3,-3,4,3,0,1,3,3,9,1,1,-2,4,9,9,1,1,0,-1,4,9,9,1,-3,1,-1,9,1,-1,3,0,4,2,4,0,4,-1,9,1,-1,1,4,9,0,3,-2,1,1,1,1,3,9,9,-2,-3,-2,0,3,9,3,3,1,-3,3,3,3,1,3,9,4,4,9,9,3,1,-2,2,4,-2
1028,Images,202,1,9,1,-2,2,1,1,4,0,4,1,4,9,1,0,9,-3,-2,9,9,1,1,4,2,0,4,0,9,3,0,1,-1,0,-1,0,4,1,4,0,-3,0,0,0,-2,3,-3,1,1,-3,4,3,4,-3,1,4,-3,-3,3,0,1,-2,-1,-1,-1,3,-3,2,0,4,-1,9,9,-2,1,9,-2,-2,-1,0,1,1,0,9,0,0,3,-1,3,0,1,2,-1,3,9,9,9,0,-2,3,0,-3,3,1,0,1,9,9,-2,1,-1,-1,1,4,9,3,2,-3,0,-2,-1,-2,9
1030,Vera,243,0,2,4,4,4,-3,4,9,1,3,-1,0,2,4,4,-1,0,4,-2,4,-1,0,9,1,9,-2,9,1,9,-3,1,1,1,9,-1,0,1,4,1,-3,9,-1,-2,1,1,1,9,-3,9,0,1,2,2,9,-1,4,-1,-1,-1,-2,-2,1,0,1,-3,1,1,1,0,4,-3,0,3,-2,-1,9,2,0,-3,1,1,0,-1,1,1,0,-1,1,2,1,-2,3,2,1,9,4,1,9,4,2,4,4,9,4,-3,0,4,-2,1,9,1,9,1,9,9,2,4,-2,-3,9,-2,4
1031,Roezemoes,198,0,1,-2,-2,-3,-1,3,-3,9,9,0,4,-1,0,4,-2,1,9,0,4,-1,-2,3,4,1,-2,4,9,4,1,1,-1,-2,0,-3,1,-1,1,3,9,0,2,-2,0,4,3,4,0,1,9,1,9,1,1,0,3,1,4,1,9,0,4,0,4,-1,2,0,-1,-1,3,-3,2,4,9,-1,1,0,2,0,1,1,2,-1,1,4,4,0,1,1,2,4,0,4,-1,1,4,1,4,-1,4,-2,1,4,1,9,-2,3,2,-1,4,1,1,0,1,1,1,1,-1,9,-2,-3,0
1032,Gardens,184,-2,0,-1,9,9,-1,9,9,0,4,1,0,1,4,-3,-2,-3,4,1,1,4,3,1,1,0,4,9,-3,-3,4,2,0,0,1,-1,2,9,-1,1,1,-2,1,1,1,1,1,0,0,3,-2,1,0,1,1,4,0,0,-2,4,-2,9,0,-2,9,2,1,-1,3,0,-3,-3,-3,1,1,-2,0,-2,-2,1,-1,0,9,-2,4,-1,1,-1,-1,0,-1,1,1,-3,0,4,9,9,2,1,9,-2,4,1,9,0,4,-2,9,9,-1,9,-3,-3,2,0,3,-3,2,2,9,1,0
1033,Prinsenhof Gardens,283,-1,3,1,9,0,9,3,1,0,0,1,4,4,4,0,9,9,2,9,4,1,4,1,9,4,-1,1,3,1,9,9,4,2,1,1,-1,1,-2,0,3,0,1,-3,-1,3,1,-2,-3,0,4,4,1,4,0,-1,0,4,-3,2,1,4,2,-3,1,1,1,1,9,1,3,4,0,1,-3,1,0,1,9,9,9,0,-1,0,9,3,-3,9,4,9,4,2,3,2,1,9,-2,3,0,2,0,-2,1,2,0,1,-1,9,9,1,1,1,0,4,3,-1,0,-2,9,0,9,1,0
1034,Grand Theatre,266,-1,1,9,3,0,-2,-2,0,1,-3,1,9,0,0,4,9,4,9,1,4,4,-3,1,1,4,-3,2,1,-3,4,1,1,1,1,9,1,1,3,-3,4,0,0,-1,0,-1,9,1,0,9,4,1,4,3,-1,-1,2,0,9,-1,-2,1,-2,9,-3,-3,1,9,1,3,9,2,1,0,9,0,1,9,2,9,1,1,1,0,3,4,1,0,0,1,9,1,0,4,1,4,2,-3,1,4,-2,1,9,4,1,9,4,1,1,1,9,1,4,3,9,4,0,-2,0,1,0,9,-3
1035,Martinikerk,297,9,1,3,-2,1,1,-2,3,1,2,9,4,-2,4,-1,-1,4,2,-3,-2,9,0,0,-2,9,1,4,-1,0,1,4,1,9,1,9,0,1,0,3,3,0,-3,0,0,9,4,-1,-2,9,3,-2,3,9,4,0,4,0,2,-1,0,0,1,4,9,9,3,0,0,0,3,1,9,1,3,9,9,1,3,0,0,4,2,0,0,4,4,-1,9,1,-1,-2,4,1,1,-3,0,4,1,9,9,0,1,3,1,1,-1,1,9,1,-1,9,4,9,9,-1,1,1,9,1,4,4,0
1036,Palace,276,9,1,4,1,4,3,1,0,4,4,0,3,9,0,1,1,9,-1,0,3,0,1,4,0,-2,-2,9,3,9,-2,-1,3,3,0,-2,9,3,3,-2,0,3,0,-2,0,0,-1,4,-3,4,4,-1,1,1,4,3,-3,9,1,4,9,0,3,1,-1,-3,-1,9,0,9,3,1,1,1,2,2,4,0,1,2,9,2,-1,-3,1,-3,9,0,3,1,0,9,4,1,9,9,1,-2,9,4,0,-1,9,9,1,-3,9,4,0,9,1,9,1,4,1,-3,1,1,-3,1,2,-1,0
1037,Town Hall,306,0,3,9,9,9,9,4,9,9,2,2,-1,2,0,9,2,2,4,9,0,1,3,0,0,4,4,9,2,2,0,9,0,1,0,-1,-2,0,4,9,1,-2,2,4,-2,-2,0,4,4,-2,-2,0,4,4,1,3,4,1,0,9,4,-2,2,1,9,9,0,0,4,0,2,4,3,-1,-3,4,1,3,4,3,4,1,1,-2,4,-2,1,2,9,2,1,9,3,1,1,0,-3,1,9,-1,0,1,-2,0,1,3,4,0,9,0,4,4,0,1,1,9,-3,1,2,0,3,9,3
1038,Canal Tours,330,-1,2,1,2,9,1,9,4,9,1,9,-1,4,4,-2,1,0,2,1,9,-2,1,1,4,-3,-3,9,1,-2,9,9,9,1,4,1,-1,2,1,1,0,-1,1,9,-3,-2,9,3,0,9,4,0,1,-3,4,1,3,0,-3,-3,-2,-1,1,-1,4,-1,9,1,-2,9,4,-3,1,1,9,4,-1,9,2,3,1,2,0,2,9,2,-2,2,9,2,3,4,9,9,4,9,9,-2,9,-1,4,1,0,9,-1,9,1,-1,4,2,9,3,4,4,1,4,4,3,4,-1,1,4,1
1039,Het Goudkantoor,292,1,-3,1,9,4,1,4,-1,9,-2,4,1,2,4,9,1,1,9,0,4,-3,4,0,1,-1,2,2,2,0,0,-2,0,9,1,-2,9,9,9,-3,0,-3,4,3,3,9,4,9,1,0,1,3,-1,9,4,-1,0,-3,0,9,9,9,1,2,9,1,-2,4,9,9,1,0,9,4,4,-1,4,-2,-2,-2,9,-3,3,1,4,1,3,1,9,4,9,2,4,9,0,-1,0,2,-1,-2,0,-3,1,0,9,1,4,-1,1,2,-1,-2,3,1,0,-3,4,3,1,0,0,2,4
1040,Selexyz Scholtens,260,4,1,0,1,-3,3,4,3,9,3,9,2,-1,1,4,-1,0,1,-1,1,1,1,-3,-2,-3,4,4,4,4,4,1,2,1,1,1,-1,9,-2,4,2,2,0,1,4,0,1,4,1,3,0,0,-3,1,4,4,4,1,1,1,4,-1,4,9,1,4,0,2,0,4,9,1,-2,-1,1,4,0,-1,-2,0,1,0,4,9,2,4,1,0,-1,9,-2,4,4,4,4,0,0,4,9,2,3,4,1,1,0,9,0,0,9,-2,1,-2,9,2,0,9,-2,9,3,4,4,0,3
1041,Synagogues,190,1,2,1,-2,4,-3,9,1,0,3,0,-1,9,4,2,-3,0,1,4,9,-3,4,4,0,2,3,2,0,9,0,9,9,0,1,4,-2,1,4,2,-2,-1,3,-2,-3,3,4,4,-3,-2,-1,4,3,1,1,-3,-2,3,-3,1,0,4,-2,1,-1,1,0,0,2,0,0,1,4,4,4,4,-3,9,1,1,1,9,0,4,1,1,2,-3,3,0,1,-1,0,0,-2,9,9,2,1,-2,1,1,9,0,1,3,-2,2,-1,-3,1,1,-1,1,1,1,-2,4,3,1,0,0,9
1042,Golden Arm,312,0,-1,9,4,1,4,3,9,-3,3,-2,-2,9,0,0,9,0,-2,3,4,-1,1,-1,1,4,9,0,9,4,-3,0,9,1,4,-1,0,0,9,1,4,-2,2,2,1,-3,0,9,1,9,-3,1,9,9,1,1,3,0,0,4,0,1,-3,9,0,1,9,-1,0,-2,0,9,4,9,1,3,1,3,9,1,1,4,4,0,1,4,2,1,0,1,1,3,1,9,0,3,4,-3,0,4,-1,-1,4,3,9,1,3,3,9,1,4,4,9,1,3,-2,9,3,1,9,3,0,1
1043,Ariola,268,1,3,1,1,9,9,-1,9,-2,9,1,1,1,9,1,-2,9,1,0,0,9,-2,1,0,4,1,9,1,-2,-2,1,0,-1,4,-2,4,2,4,-2,1,1,1,4,4,0,4,4,4,3,-3,4,-1,-3,-1,3,2,4,-1,4,9,1,-1,0,1,4,1,4,2,-3,9,-2,1,1,0,1,0,-3,1,1,9,1,9,1,1,9,4,-3,4,-1,3,4,4,2,3,4,1,9,3,1,1,1,9,2,4,4,1,1,2,-2,9,-3,3,-1,-2,0,2,9,2,1,1,9,-3
1044,De 7e Hemel,310,-1,4,3,3,1,2,-1,-2,0,9,9,0,-2,-3,9,-3,-2,2,2,9,1,-2,4,4,9,1,2,4,2,4,-3,1,-2,1,9,0,9,3,1,4,2,-1,0,3,-2,9,1,3,1,1,4,1,9,-2,4,-1,1,1,4,0,1,0,9,3,-1,-2,4,9,9,4,4,3,0,4,0,-3,9,2,3,-2,1,9,-2,2,9,0,4,9,-3,0,-3,1,9,3,2,4,4,0,2,0,9,2,1,0,4,3,1,4,9,9,0,-1,-2,1,4,9,4,4,-2,2,4,9
1045,Brussels Lof,247,1,-3,0,1,1,-2,0,1,0,9,1,1,1,4,0,1,1,4,0,3,2,4,1,4,-2,1,1,9,0,-1,0,0,-2,3,0,2,2,-3,-1,0,2,2,9,9,1,0,1,1,4,0,9,1,4,1,1,2,0,-3,4,4,3,1,9,1,-1,-3,9,4,9,9,2,9,0,0,-3,0,0,4,1,0,-2,3,1,-3,-3,2,0,4,-1,9,9,3,1,-2,-2,9,-3,0,9,2,1,1,4,9,4,2,2,9,-1,0,4,9,2,3,1,1,9,2,1,0,1,-3
1046,De Pintelier,242,-1,-3,0,1,3,-2,4,9,-1,4,-2,-3,2,9,2,-2,9,1,0,9,-2,1,-3,1,4,0,1,1,3,1,9,9,-1,9,1,9,4,1,2,2,9,2,-3,-3,-2,9,4,-1,-2,0,-2,-3,1,-2,9,1,-1,9,4,9,-2,2,3,3,9,4,-1,1,0,1,-1,0,1,3,1,1,1,1,1,0,1,9,4,4,-2,1,1,4,2,4,-1,9,2,2,9,9,1,4,1,-1,1,-2,3,-2,-3,9,4,4,-2,0,2,-1,4,2,2,-1,-2,-2,1,9,-1,-3
1047,Granny's,258,4,2,1,1,2,3,0,3,4,4,2,-2,9,1,1,2,0,9,-3,4,4,0,1,1,2,-1,1,4,0,4,1,1,1,1,9,-1,1,9,9,3,2,4,4,0,1,1,2,-3,-1,0,2,-3,0,1,4,9,-2,0,1,9,1,9,3,1,0,-2,-2,0,1,0,-2,1,3,0,1,-1,4,4,3,9,9,9,9,0,-2,1,1,2,-2,2,1,-2,1,9,9,9,0,1,0,1,4,-3,0,1,9,-3,9,3,3,0,-2,4,-2,4,-1,1,4,1,1,0,9,-3
1048,Noordelijk Scheepvaartmuseum,240,3,-1,-1,0,1,3,1,2,2,3,4,1,0,4,9,9,4,1,1,1,-1,1,2,4,0,0,9,1,4,2,3,-1,4,1,1,0,9,-1,0,1,4,0,-1,9,4,-3,0,9,0,1,0,4,1,2,2,1,3,3,1,4,-2,3,1,1,9,0,-3,4,1,9,3,0,9,0,1,0,1,9,0,1,-2,0,-3,9,4,4,0,-1,3,0,0,-1,-1,-2,9,4,1,2,1,1,4,-2,-3,-1,-1,-2,0,4,-2,-3,0,4,9,-2,9,1,1,3,9,1,4,2
1049,Bonnefantenmuseum,252,-3,9,-2,1,0,4,0,1,-2,-1,3,2,0,4,0,9,2,-1,9,-3,1,0,4,1,3,3,4,0,0,9,1,1,-1,4,-2,1,0,2,4,9,4,9,0,9,1,2,9,-1,-2,1,-1,-3,-2,1,-3,3,1,3,-2,1,9,1,4,4,4,0,4,-2,4,3,3,4,-1,1,2,1,-2,9,0,1,1,0,2,9,0,4,0,9,9,1,1,1,2,1,4,0,4,4,3,4,2,4,2,0,3,1,4,9,2,4,-1,1,4,-1,2,4,-3,2,1,-1,-2,1
1050,Derlon Theater,252,3,0,1,-3,-2,1,-1,4,1,-2,9,-2,-2,9,3,1,9,-1,3,9,1,-3,-2,1,-2,1,1,1,9,9,4,9,9,2,9,1,9,1,0,0,-3,1,1,-2,-1,4,2,1,3,9,3,-1,9,0,-3,-2,3,3,-2,4,-3,-1,0,1,0,2,3,-1,-2,0,4,-1,0,9,1,9,9,1,0,1,0,-1,-3,4,9,0,9,1,-3,9,1,4,2,-2,4,3,1,-2,3,0,3,9,4,-3,9,-1,9,1,9,-2,-3,0,4,2,0,-1,3,0,4,4,0,1
1051,Beluga,231,1,1,9,1,2,0,0,1,0,9,0,-3,9,3,4,1,2,3,-3,-2,0,4,9,9,0,3,9,9,1,1,1,-1,3,1,1,1,-3,0,-1,1,9,-3,0,-3,0,9,4,-3,-3,0,-3,-2,2,-2,4,9,1,3,0,3,1,2,4,1,1,4,-3,9,0,-2,-2,3,-1,1,-2,-1,3,4,2,2,1,9,4,-1,1,3,4,1,0,-3,0,1,9,-1,1,4,0,-1,0,4,9,-3,4,2,1,0,-1,4,-3,0,9,-2,2,2,9,4,9,0,2,-2,9,3
1052,Zondag,185,1,9,9,2,1,-1,1,1,-3,0,-3,9,-1,9,-2,0,4,-2,0,2,-3,1,-2,3,1,-2,-3,-1,-3,1,0,0,0,0,0,9,0,-2,1,0,1,0,0,1,0,4,9,-3,-2,-1,1,-3,4,1,1,1,4,3,4,9,4,0,2,1,-3,1,1,-1,2,0,9,1,1,2,-3,-1,1,9,9,1,3,-2,-2,1,3,1,1,1,9,1,4,2,3,3,1,-3,1,1,9,0,1,1,2,-1,3,9,1,3,9,-1,-1,-2,2,0,-1,4,-2,4,9,-2,4,0
1053,Take One,268,-1,3,9,1,2,4,-2,2,0,-3,0,9,9,4,1,3,1,-3,0,9,-1,0,9,-2,-1,-2,-2,2,2,0,9,0,4,-1,4,2,3,1,9,1,9,-3,-3,4,-2,-2,2,9,4,3,3,1,1,4,9,1,1,9,9,-2,-3,0,0,4,-1,3,-3,9,4,-3,9,1,9,1,0,2,-3,-2,4,4,3,4,-3,0,1,-2,0,3,1,4,1,-3,9,4,4,0,1,0,3,3,4,4,4,1,1,-1,-2,9,1,0,3,4,9,1,1,4,9,1,2,0,1,2
