e,name,sum,Good food,Music,Live music,Outdoor exercise,Swimming,Food,Much food,Burgers,Fast Food,Midnight service,Service,Types of food,Conscious food,Snacks,Crowdedness,Ingredients,Bacon,Grapes,Ham,Dishes,Hash browns,Hiking,Internet,Drinks,Coffee,Atmosphere,Kitchens,Indian kitchen,Romantic atmosphere,Market,Culture,Art,History,Architecture,Experience,Thrill,Local culture,Local people,Walking,Relaxing,Outdoor,Picnics,Chips,Craftmanship,Alcoholic drinks,Modern art,Traditional local culture,Fun,Animals,Dolphins,Adventure,Going out,Vegetarian food,Healthy food,Good drinks,Cocktails,Dancing,Cheap,Museums,Beer,Outdoor food,Pub food,Squalor,Scottish food,Italian food,Pizzas,Shopping,Souvenirs,Authentic souvenirs,Beautiful experience,Beautiful view,Convenience,Comfort,Comfortable seats,Nature,Peaceful atmosphere,Driving,Driving a boat,Fruit,Meat,Ice cream,Local food,Vegetables,Cinema,Arthouse films,Train rides,Weddings,Bagles,Non-alcoholic drinks,Chocolate drinks,Paninis,Social atmosphere,Cheesecakes,Purchasing art,Waterfalls,Fishing,Fly fishing,Late night service,Spas,Wine,Body art,Tattoos,Piercings,Jazz,Blues,Sea views,Quiet atmosphere,Gardens,Cider,Excitement,Massage,Beautiful sights,Cycling,Mountain biking
1107,Oudegracht,278,0,4,0,1,3,4,9,1,4,4,0,3,0,-2,3,4,4,4,-1,1,1,9,-3,1,9,1,-1,3,-2,1,1,0,-3,1,1,1,3,2,0,-2,0,1,1,1,4,1,-3,1,0,-1,0,4,1,0,-3,9,-3,4,3,1,9,-3,-2,9,1,-1,0,9,-2,1,4,4,9,1,9,4,9,4,4,4,9,4,-2,3,9,0,4,1,1,0,1,9,1,9,-3,2,-3,9,9,9,0,9,0,9,3,3,0,9,-1,0,3,4,0,4
1108,Vredenburg,184,1,9,1,2,4,2,-2,1,3,3,-3,4,1,4,3,4,3,2,-1,0,2,-3,-3,2,4,-1,1,1,-1,0,2,3,-2,4,9,1,0,2,-1,9,-3,-1,9,-3,-3,0,1,-1,4,-2,4,4,1,4,0,4,0,0,1,1,0,-3,-1,4,0,0,-1,1,-1,1,1,-3,-3,2,3,9,-2,9,-1,2,4,1,1,0,1,1,4,1,3,9,9,0,4,1,2,9,1,-2,1,1,2,4,1,4,1,1,-1,0,0,0,1,3,9,1
1109,Living Tomorrow Pavilion,216,4,1,1,9,4,1,3,0,1,0,0,-3,3,0,4,-1,3,-2,0,2,3,2,4,3,9,-2,4,-3,0,-3,0,0,3,1,-3,4,9,9,4,4,1,0,-2,-1,4,9,4,2,4,4,1,-3,4,4,-1,-1,4,-1,-2,4,4,-2,3,0,-3,9,9,9,2,3,1,4,9,-3,1,3,4,-1,4,0,1,1,1,1,0,9,4,1,1,1,0,1,1,4,-3,0,-2,4,3,4,-1,0,-3,1,-3,3,9,-3,-2,0,4,1,1,9
1110,Persmuseum,258,4,1,1,1,-3,4,2,3,3,4,1,9,0,9,0,-3,4,0,4,1,-1,4,0,-1,-1,0,-2,0,1,1,1,0,4,-3,1,9,4,9,4,-2,2,1,0,-1,0,-1,9,4,0,4,9,9,0,1,-3,4,0,9,0,-2,2,3,0,3,9,4,4,-1,1,3,1,4,4,9,-2,0,0,4,0,-1,4,-3,1,9,1,9,-3,9,2,1,1,9,9,3,3,2,9,-2,2,9,4,3,4,-3,-2,2,4,-1,-1,-1,1,0,4,4
1111,Odessa,218,-2,1,1,1,3,1,-1,4,1,1,0,-2,-2,4,2,0,0,9,3,1,1,9,4,9,4,9,9,4,3,9,1,1,3,3,3,0,-3,9,4,9,0,3,-3,1,-2,0,-2,4,2,9,2,1,3,4,0,4,1,1,1,1,-2,0,1,0,3,-3,-3,9,4,4,9,2,2,-2,-2,9,1,1,0,-3,9,4,-1,0,1,9,-3,0,9,1,-2,3,1,-1,-2,-1,3,4,2,-3,1,-2,-2,0,-3,4,4,4,4,-3,1,0,0,1
1112,Lisboa,226,0,-3,9,-3,4,3,2,3,4,4,4,-2,1,1,9,9,-2,9,-2,-3,-1,0,2,-3,0,9,1,3,9,1,2,4,1,2,4,9,0,0,1,1,-2,-3,4,0,-3,-2,1,2,4,-1,1,4,3,9,2,9,0,4,0,4,1,3,3,3,1,1,0,-1,9,9,-2,1,1,-1,1,1,9,3,4,1,-3,9,9,1,-2,0,3,0,0,3,0,3,0,2,3,-2,1,4,0,1,-3,-1,1,4,9,9,2,0,-2,-3,1,1,1,0
1113,Gare de l'Est,203,2,1,1,-3,0,-1,4,-3,4,1,9,1,4,-1,9,2,9,-3,-2,-1,4,2,0,4,0,1,1,0,1,1,1,1,0,2,1,-2,0,2,0,2,1,9,1,1,1,1,0,4,4,0,0,-3,0,3,0,9,9,1,-1,-3,0,1,9,0,9,-2,2,1,9,-3,0,4,2,0,1,9,4,1,4,4,1,9,0,9,4,9,-1,-3,4,9,1,-2,9,4,-3,2,0,-2,-2,-3,-2,4,-1,2,-3,1,0,0,0,-3,1,9,0,4
1114,KHL,229,1,3,4,1,9,1,4,-3,4,2,1,9,1,9,4,0,2,9,0,-1,9,2,-2,9,-3,9,9,1,-1,-3,1,1,1,-1,9,-2,-3,4,0,1,1,1,3,0,-3,4,0,4,0,-2,-1,0,0,-2,-3,9,-3,4,-1,0,-2,-2,2,-3,2,0,2,-3,1,9,9,0,0,9,2,4,1,1,1,9,9,0,9,0,-3,3,-2,9,0,-2,-1,1,1,9,1,2,4,0,1,3,1,0,-1,1,9,0,-3,9,9,2,-2,4,4,-2
1115,Frankendael,190,0,9,1,-2,3,-2,-3,0,4,-3,2,1,1,0,-1,1,-3,0,1,2,1,0,2,1,4,1,3,1,-1,1,-2,4,1,1,3,1,9,4,1,1,2,1,4,0,1,-1,0,-3,4,-3,0,0,4,0,9,2,-3,-3,9,2,4,0,0,3,9,1,-3,4,-2,1,0,9,9,-3,0,1,4,0,0,0,0,2,1,4,1,-2,-2,2,3,4,4,1,1,1,4,1,1,1,1,4,-1,9,9,4,1,0,0,9,2,9,9,1,0,-3
1116,Voorbij Het Einde,247,3,1,0,0,-1,1,-2,2,-2,4,-3,4,-2,9,4,1,1,4,-2,-2,9,1,1,-1,0,-2,2,0,3,1,3,0,1,9,-1,1,9,-2,-2,4,0,-1,3,2,9,9,9,0,4,0,9,1,4,0,4,0,2,0,-1,4,9,9,0,-1,9,9,4,-1,4,-1,0,-3,0,0,9,-3,2,-2,2,0,9,9,4,9,-1,3,9,-3,3,1,4,9,1,2,4,4,0,3,1,9,4,0,3,1,2,0,1,-1,-3,0,1,-3,-1,3
1117,Panama,182,1,3,-3,4,-3,-1,1,-1,3,0,3,0,2,-1,1,9,-1,2,-2,3,1,3,1,-1,4,2,4,-3,1,-3,1,-2,0,4,-3,2,9,1,2,0,3,1,3,2,4,1,2,3,1,0,0,-3,0,9,0,1,9,2,3,-1,-3,1,1,2,-1,1,1,0,1,9,0,4,3,4,1,2,1,1,0,9,-3,0,1,-1,2,9,0,-3,3,1,1,4,2,0,1,3,0,3,9,3,-1,4,9,1,1,2,-1,-2,1,2,9,4,-2,0
1118,Tropentheater,215,1,0,1,-2,1,-2,0,-3,4,1,9,2,2,9,1,0,0,0,3,-3,-3,-3,4,0,-1,2,9,9,1,9,3,9,-2,-2,4,0,4,4,-1,0,-2,0,-1,1,0,0,1,1,9,9,3,-3,1,0,-2,3,1,-1,9,0,9,2,1,1,-3,-2,1,3,1,1,4,1,9,-2,9,0,-1,0,0,1,9,4,0,9,4,-3,1,9,1,2,3,4,2,-3,1,1,3,4,4,-1,9,3,-2,1,4,0,2,-1,-3,-3,3,4,9,1
1119,EnergeticA,195,4,1,1,9,-3,9,0,2,9,0,9,2,0,-3,1,3,0,9,1,4,3,-2,9,1,3,0,-3,4,0,1,-3,9,0,2,4,3,9,0,0,0,2,4,1,4,-3,-2,4,4,1,2,9,-2,0,0,1,2,9,-3,1,3,2,1,2,0,2,1,-3,0,-1,-3,1,1,1,-3,-2,1,2,-3,0,2,1,-2,9,3,-1,9,-3,0,2,-2,1,0,0,1,9,-3,1,9,1,3,-2,1,4,1,1,9,1,0,1,4,-1,1,0,1
1120,Tropenmuseum,227,0,0,0,-2,0,4,0,2,4,1,0,1,0,-1,4,-3,0,1,1,0,0,0,4,1,4,0,1,4,-3,2,4,0,9,9,4,9,1,0,1,-1,9,0,-2,1,0,0,3,4,4,3,-1,3,3,1,9,3,4,-3,-1,4,1,4,0,1,4,3,1,9,-2,0,-3,1,1,4,9,9,-2,1,4,4,0,4,-2,4,2,4,9,9,0,4,-2,4,9,3,1,1,4,4,-1,0,0,-1,1,0,1,0,3,2,1,-1,2,9,-1,0
1121,Werfmuseum 'T Kromhout,185,-2,0,-1,1,-1,4,4,2,2,2,2,1,3,1,9,1,1,9,2,4,-3,0,1,0,4,-3,4,-2,-2,-3,0,2,0,4,0,1,0,4,-2,3,3,9,0,0,0,1,3,-1,0,9,4,4,-1,1,1,4,-1,-3,4,4,9,-1,4,0,4,9,4,9,1,-2,0,-3,0,0,-1,9,1,4,9,4,1,0,1,-1,1,1,4,-2,1,1,-3,-2,1,-2,1,-3,0,1,0,4,9,-2,4,3,2,9,-1,0,1,-3,4,0,1,1
1122,Muiderpoort,248,9,4,0,4,1,2,-2,1,9,1,0,9,-2,-2,3,4,0,9,-2,-3,0,-2,-2,4,4,0,9,9,-3,1,0,-3,-2,0,4,1,9,0,2,4,9,0,1,3,2,3,4,1,9,9,1,9,9,-3,4,-1,4,9,4,0,1,1,0,1,1,-3,9,1,2,4,-2,3,1,2,-1,4,4,0,-1,4,-3,-1,0,0,9,-1,-3,3,1,1,1,-1,1,9,1,4,1,1,3,-3,3,4,9,-2,1,-2,9,1,-2,-3,9,1,0,9
1123,Fifteen,228,9,2,1,-3,9,9,0,-2,3,-3,1,4,1,-2,-1,9,-2,0,4,4,4,-3,1,0,2,0,9,3,-2,1,0,0,9,1,0,-1,4,4,0,1,-3,3,9,2,0,-1,9,-3,0,2,-2,1,-2,3,3,4,3,0,9,-2,1,-2,0,0,4,2,1,0,1,9,4,4,0,4,9,1,0,9,1,1,0,0,3,-2,9,1,0,1,0,4,3,-3,1,4,3,4,1,-3,2,4,4,9,4,-3,9,9,1,9,-2,-3,-3,0,-1,3
1124,Nederlands Scheepvaartmuseum,175,-3,2,-2,4,-3,3,-3,-1,0,9,4,4,-3,0,1,2,-1,0,0,-2,4,0,-3,1,1,9,2,1,0,-3,1,1,9,1,4,3,0,0,4,2,-3,4,-1,-1,-2,-3,3,-2,-2,-2,-2,1,1,9,1,-3,0,0,1,2,1,3,2,4,4,1,4,0,1,4,1,4,3,9,9,1,1,1,4,9,1,9,-3,0,-3,0,-2,-1,0,0,9,-2,-1,0,9,3,9,2,0,0,2,2,-2,0,4,1,9,1,-1,0,0,4,1,9
1125,Entrepotdok,235,-3,2,-1,4,-3,1,-3,-2,-3,1,1,1,-1,9,0,-1,1,4,2,0,4,3,-1,-3,9,1,1,2,0,4,9,4,-3,1,9,9,4,4,9,-1,4,3,9,1,2,1,9,1,4,0,0,9,9,-1,4,4,3,-1,-3,-3,1,1,2,-2,9,9,-3,-2,9,0,3,2,1,-3,4,1,-2,4,4,4,4,4,-3,0,9,4,4,3,-1,1,2,-3,-2,1,9,9,-3,-2,9,1,-2,0,2,2,1,4,9,-2,0,1,-1,9,-2,-3
1126,Bloem,212,2,1,9,1,2,-2,9,9,-2,-1,-1,-1,4,9,0,1,0,1,1,1,0,2,1,2,0,0,4,0,1,-1,4,1,1,0,2,0,-2,1,9,1,-3,1,1,-1,1,9,0,0,2,2,0,9,4,0,9,9,4,1,1,4,1,9,3,0,4,0,9,9,9,-1,0,0,4,3,1,9,9,-1,-3,0,0,9,0,-3,-2,1,-1,0,-3,2,4,1,1,0,-3,0,-1,1,-2,-2,4,4,9,-2,1,4,-2,-2,-2,1,2,-2,4,4
1127,Muziekgebouw aan 't IJ,254,2,1,0,1,0,2,1,9,2,-1,9,4,9,1,9,-2,4,1,1,9,0,3,0,1,9,4,4,4,4,-3,9,4,3,1,2,1,-1,3,9,9,-1,4,4,9,9,2,4,0,-3,9,9,1,-1,1,1,0,-2,0,1,4,0,-3,9,-3,9,-1,1,-1,1,1,4,4,2,3,-2,2,1,4,1,-1,0,-3,2,1,-3,1,0,2,3,2,4,-3,4,4,0,0,-3,4,1,0,4,-3,1,9,1,1,4,2,9,1,0,-1,-1,1
1128,Star Ferry,210,1,1,9,9,-1,1,2,9,1,9,-2,-1,-1,-2,0,4,1,-3,4,-3,-2,3,-3,1,-2,1,4,-1,-3,-3,0,2,9,1,1,1,4,1,3,1,-2,4,1,9,9,1,9,2,0,2,-1,2,1,2,0,-2,-2,2,3,-3,0,4,3,3,0,1,3,2,1,-1,-1,0,9,9,9,-1,-3,0,1,4,9,-2,9,1,9,-2,2,1,1,4,0,1,-2,4,-3,1,0,1,9,4,1,0,3,0,0,0,-1,2,-1,4,2,4,4,9
1129,Artis,192,3,3,0,9,3,4,2,0,4,4,2,0,0,-3,-2,4,3,1,0,0,9,1,3,0,1,1,1,2,1,0,3,9,1,2,-2,1,4,-3,2,2,4,1,0,-1,4,-1,-1,4,9,3,4,2,1,1,4,9,-3,2,1,1,1,0,3,4,0,-1,-1,0,0,-3,-3,0,4,1,1,-2,0,-3,9,9,9,-2,0,-2,-3,-3,4,1,-3,-2,3,-3,1,0,0,4,-3,9,1,1,4,2,4,4,-3,4,4,9,3,1,9,1,2,-2
1130,Verzetsmuseum,136,0,0,1,1,4,-1,1,-2,0,4,1,-3,2,9,4,0,-2,-1,1,-2,0,3,0,4,3,-1,-1,1,4,9,1,9,1,-3,0,-1,-2,4,1,3,-2,-2,3,-3,4,2,-2,9,-2,-2,0,-3,-1,2,1,0,1,1,1,4,9,4,3,-2,-3,-2,1,4,1,4,-3,1,1,0,9,-3,-2,-1,0,1,1,-3,4,9,9,0,4,0,4,1,4,2,0,1,9,-1,0,3,-2,0,9,3,2,-1,-3,1,1,-1,-1,-1,1,-1,-3,0
1131,Arcam,240,-2,0,-1,0,9,3,1,9,4,9,0,9,-3,9,0,0,4,-2,-2,0,9,1,0,-3,0,4,4,1,4,9,1,9,3,1,1,1,1,9,1,1,4,1,1,9,-3,9,-1,3,1,1,0,1,0,2,3,4,0,9,2,1,1,4,-3,-2,9,9,9,1,1,1,1,0,0,4,3,-1,0,4,0,1,-2,1,1,-2,-3,-3,4,-1,2,0,9,9,0,0,-1,0,-1,1,9,4,1,3,-2,9,4,3,0,-1,0,1,0,1,1,0
1132,Plancius,279,9,0,1,9,-1,4,-1,4,4,4,4,0,0,2,-2,4,0,4,-1,-1,4,9,0,2,4,1,1,0,9,9,-1,1,1,-3,0,9,1,-2,1,-2,1,-2,4,9,4,1,4,1,4,3,1,-2,4,9,0,9,9,-3,9,0,9,-1,-3,9,1,9,-3,1,2,1,9,4,3,4,-1,3,0,4,-1,0,9,0,9,3,1,-3,9,1,-1,1,-1,-1,1,9,0,1,1,9,4,-3,1,3,-3,-3,9,2,9,0,-2,1,3,9,1,-2
1133,NEMO,178,0,0,4,3,1,1,1,-2,4,-3,2,9,0,1,1,-3,0,0,1,9,3,4,4,9,-2,1,9,1,4,1,1,4,1,1,0,2,3,0,9,4,-3,-3,3,0,-1,2,-2,1,0,0,3,-3,1,1,-2,9,2,1,-2,9,-3,-2,4,1,9,9,1,0,4,-2,-1,1,3,0,-1,1,0,4,9,3,0,0,2,4,-2,-2,2,0,4,-3,1,1,2,-3,-1,-3,0,0,0,2,-1,9,3,0,1,1,1,1,0,0,-3,9,0,9
1134,Koffiehuis van den Volksbond,214,0,4,9,-1,1,1,1,-2,9,-3,2,0,1,-2,-1,2,9,-3,-1,-3,0,-3,1,1,0,1,0,1,4,0,9,-2,-3,-3,1,3,1,4,9,0,4,9,9,-1,1,0,9,9,1,-1,3,4,1,-2,3,9,1,1,9,2,-2,-3,9,3,3,4,4,2,-2,2,4,0,-1,0,-1,-2,4,1,9,3,3,1,0,9,4,9,0,3,-3,4,-3,-2,0,0,-2,9,0,3,1,-2,4,9,1,0,-1,0,-1,1,-3,9,4,0,1,1
1136,Abe Veneto,201,-1,9,2,0,1,2,9,-1,-2,2,-1,0,9,1,-2,1,4,3,3,1,1,4,1,1,0,-3,9,-1,4,1,4,0,4,4,0,1,9,9,1,1,1,4,0,1,3,1,-3,0,0,0,9,0,-3,-3,1,2,9,-2,4,-3,9,-1,9,1,4,9,4,1,-2,4,3,1,0,1,-2,9,-3,0,4,-3,-2,-1,1,0,4,3,4,0,1,9,3,4,3,4,0,-1,-2,0,-3,1,2,-2,4,9,1,-1,1,1,4,0,-3,-1,0,-1
1137,Conservatorium Van Amsterdam,201,3,-2,9,3,-2,4,1,1,1,-2,-3,1,4,1,9,3,9,4,-1,-3,9,4,9,1,0,4,1,1,2,1,9,0,0,9,1,-2,0,9,1,3,-3,-3,2,-1,-3,-3,3,3,9,9,1,-3,-3,9,1,4,1,-3,-2,1,0,1,-3,-1,4,-2,1,-2,-2,4,1,-3,-1,0,9,0,0,1,0,2,4,4,9,1,-3,0,0,1,0,1,4,1,1,0,0,-1,3,1,4,-1,4,-2,1,3,0,3,9,3,3,-1,3,9,3,4
1138,Hortus Botanicus,165,0,-3,3,0,0,1,1,1,-3,4,9,-3,4,1,-3,3,4,-1,1,1,-2,0,4,4,1,0,-3,-3,-1,3,1,9,9,1,4,1,1,-2,-3,0,4,-2,-2,2,9,3,2,-2,9,-2,3,2,1,1,1,9,9,9,1,1,-3,1,4,-1,0,1,4,-2,1,1,3,3,4,0,9,1,-2,1,9,-2,-1,4,3,2,1,-3,0,-1,0,1,3,4,3,4,3,-3,0,9,-3,0,1,-2,1,1,4,1,1,-3,4,-3,-1,1,0,0
1139,Sea Palace,174,2,4,1,-3,3,1,4,-2,9,1,0,3,-2,4,1,9,1,1,2,-1,9,2,-3,-3,3,1,1,0,1,3,4,9,4,-1,4,4,9,1,3,1,3,4,-3,0,-3,1,-2,1,4,-3,-1,-1,1,9,1,4,-2,4,3,1,-3,-1,-1,4,-2,-3,9,0,1,9,-3,1,2,4,1,-3,0,4,0,-1,9,-3,0,1,-1,1,1,1,1,0,-1,-1,-2,4,0,-3,1,9,0,1,9,1,4,1,1,9,2,3,-1,-3,1,-3,0,3
1140,Amstel Haven,187,4,-3,-3,-2,-2,1,1,1,4,2,2,1,9,0,0,1,0,0,1,-1,-2,0,1,1,1,4,1,-2,9,4,9,1,9,1,1,1,2,-1,3,3,0,1,1,1,9,9,4,-3,3,0,-3,1,-3,2,2,-3,3,3,0,2,4,0,1,2,4,0,1,4,0,4,0,-2,-2,2,2,4,1,9,-1,-2,0,0,3,1,1,3,-3,9,0,-1,-1,1,-2,0,9,2,4,-3,1,1,0,4,0,-1,-2,-3,9,0,2,4,9,0,9,9
1141,Betty's,254,-2,2,3,3,9,3,9,9,4,1,-1,1,-2,-3,1,4,3,1,1,3,1,9,2,-3,-2,4,9,0,3,-1,1,4,4,9,4,-2,9,9,-3,1,1,-3,9,-3,9,1,1,1,4,4,1,9,0,4,0,-1,0,0,3,3,9,2,9,2,0,1,1,9,4,9,4,-2,1,-2,3,-3,3,4,1,3,0,4,-3,-2,-2,1,0,2,1,0,-3,9,1,-3,-1,1,-3,9,4,0,2,-2,-1,-2,4,0,1,2,9,3,1,4,9,1
1142,Montelbaanstoren,267,0,-1,4,-1,2,4,-3,1,1,2,1,0,-3,1,4,0,3,-3,3,4,2,3,1,2,1,1,-3,9,2,2,3,4,1,1,9,9,1,3,1,9,-3,-2,1,-2,2,2,2,2,3,4,3,0,1,0,-1,0,9,9,4,4,9,9,4,9,-1,9,-2,2,4,3,3,4,0,1,9,4,3,2,0,1,9,-1,9,1,4,9,-3,1,-2,3,9,4,-3,0,4,0,1,0,1,4,4,0,1,0,-2,4,0,9,-1,3,-3,9,1,1
1143,Amstel Bar & Brasserie,246,9,0,1,-3,0,1,0,0,1,4,1,1,0,3,9,1,9,9,0,1,1,1,4,0,1,1,9,4,4,-2,9,0,1,-1,-2,1,9,-1,4,1,2,2,9,9,1,3,1,-1,1,-2,-1,0,3,-3,9,4,-2,4,-3,-1,2,2,1,1,1,1,0,0,4,-3,1,3,2,3,-3,1,0,0,1,9,-1,2,1,0,-3,9,3,9,2,1,4,2,1,9,9,-2,9,4,0,-1,1,-1,4,4,4,9,1,1,1,0,0,3,0,9
1144,Portuguese-Israelite Synagogue,250,9,2,-2,0,9,0,4,1,0,4,0,2,0,0,3,3,3,0,2,0,4,1,3,9,-2,-2,9,-1,3,2,9,0,2,4,-1,4,2,-3,-3,9,1,1,9,0,0,-1,1,2,4,0,4,-1,9,4,2,0,-2,3,-1,1,9,-1,9,9,-2,2,9,9,-2,2,9,9,-1,-1,3,4,4,1,2,1,2,-3,4,1,4,-3,1,4,0,0,9,9,2,1,-3,-2,1,-3,0,9,3,-3,4,0,1,1,9,0,1,1,-3,1,1,1
1146,Scheepvaarthuis,219,4,9,-1,1,0,0,4,0,-1,4,2,1,-1,-3,-2,1,4,9,4,3,-2,0,2,1,2,0,0,-2,1,9,3,4,1,1,1,4,3,3,9,-2,1,1,0,1,4,0,4,1,0,1,3,1,1,3,2,3,9,1,-3,9,-2,-2,-2,4,9,0,-2,3,4,4,-1,3,4,2,-1,-2,1,0,4,9,-1,-1,-3,1,2,3,9,9,2,3,9,-3,1,3,1,9,2,-3,-2,1,0,0,-3,1,9,-2,9,4,4,3,-2,-2,-1,4
1147,Joods Historisch Museum,211,-3,3,-3,4,1,1,1,1,-1,1,4,-3,1,9,-2,1,4,1,2,1,-3,9,-2,1,4,-3,9,9,1,4,1,2,3,9,4,9,3,-1,0,3,1,9,-2,2,0,2,4,4,1,0,4,-2,1,1,3,4,4,2,9,-1,-1,4,1,2,9,0,4,1,9,0,0,0,4,1,0,1,0,-1,3,4,9,1,-3,4,0,0,-2,1,-1,3,1,9,0,-1,0,1,0,-2,-2,0,1,-1,4,-2,3,0,-2,1,-1,0,2,3,9,4
1148,Amsterdams Marionetten Theater,238,4,1,2,4,9,1,-1,4,0,-3,1,0,1,4,4,0,1,2,1,1,9,1,2,1,9,9,4,-3,4,2,1,4,-2,3,0,0,0,1,1,9,2,9,1,4,9,-3,-3,1,1,9,1,0,1,4,9,-1,1,-1,-1,-1,1,9,4,4,-1,4,-2,0,1,-3,-2,3,1,-1,4,1,1,4,0,-2,3,9,2,4,0,9,0,-2,4,9,1,4,4,-3,2,-3,9,1,0,-3,-1,3,3,1,0,9,0,1,3,-1,0,1,1,9
1149,Mozes en Aaronkerk,204,0,-1,3,4,1,1,1,9,3,3,3,0,9,1,-3,4,4,-2,3,4,-2,0,0,1,0,4,9,-1,9,2,1,0,0,-3,3,-2,2,-2,4,4,-1,3,1,1,1,-2,-1,9,1,9,4,4,4,2,9,4,9,0,-3,3,9,-1,0,9,1,1,3,4,-3,2,4,1,2,0,0,0,1,2,0,9,3,-3,0,9,4,1,4,1,0,1,2,4,0,0,-1,0,-3,1,0,0,0,0,0,-2,1,2,0,0,0,2,1,0,1,-1
1150,Amstelsluizen,222,-2,9,0,-3,4,9,9,-1,-3,9,-1,-3,1,3,3,9,1,9,9,1,0,0,1,0,9,3,9,2,0,9,1,0,3,-1,4,0,1,9,2,9,2,-1,0,1,9,-1,4,-1,9,2,4,0,-1,0,-2,-2,0,-1,9,1,4,-1,3,3,2,0,-2,0,9,1,0,1,2,9,-3,-3,9,1,-3,1,1,0,1,-3,-3,0,2,2,9,3,-1,4,9,-2,-3,4,9,-2,-2,1,4,0,-1,-2,4,-3,-3,1,2,-2,3,-2,2,1
1151,Hermitage Amsterdam,189,3,4,-2,0,-1,-3,0,1,2,2,0,1,9,0,1,9,-1,-3,4,-2,4,9,-3,0,0,4,1,2,4,-1,0,-2,-1,4,1,0,1,-1,-3,-1,1,-1,1,3,1,0,1,-3,4,1,1,0,2,-3,2,-1,1,4,3,4,-3,9,-3,-3,1,4,2,2,9,4,9,0,-3,1,1,4,9,-3,9,3,0,3,4,4,9,1,4,1,9,2,1,1,-2,0,4,0,0,3,-3,3,-2,1,-1,9,1,9,4,4,4,0,-2,0,4,-1
1152,Klokspijs,222,4,1,1,-1,3,9,1,1,9,0,-3,1,4,1,1,2,3,3,0,0,9,2,9,1,-1,9,2,-2,0,-3,4,0,-2,1,1,4,4,0,1,2,1,-2,1,1,3,0,4,-3,-2,-1,2,0,1,2,0,1,9,0,9,4,0,2,0,9,0,9,0,4,0,-3,0,4,0,-1,0,-3,0,0,9,1,4,-3,9,9,0,1,1,9,-2,0,1,1,1,-3,0,1,3,0,0,9,4,1,9,9,9,2,1,1,0,-3,0,3,1,2
1153,Cotton Club,239,4,-1,9,4,9,0,0,2,9,1,1,1,0,9,4,2,2,0,0,0,-2,1,1,1,-1,1,0,3,9,9,4,-1,9,-1,1,9,4,0,-2,9,-1,9,4,1,-1,1,-2,-2,-2,1,-1,2,1,1,0,9,4,4,-3,9,1,9,1,1,-1,9,9,9,-3,1,1,4,-2,0,1,9,-3,4,4,4,1,-3,2,0,1,0,-3,1,1,1,-3,-1,1,4,-1,4,-1,2,1,4,-1,1,4,1,9,1,-1,0,3,1,1,0,-2,9
1154,Magere Brug,197,1,-2,1,4,1,9,-3,9,2,1,1,2,3,4,1,1,2,1,1,1,-3,4,0,1,-1,3,1,9,2,0,-2,2,4,3,-1,9,-1,1,1,0,-1,9,2,1,1,-1,-1,-1,0,9,1,0,-1,3,0,3,0,2,1,-3,1,1,0,4,2,2,0,0,2,-1,-3,1,1,0,1,1,1,1,0,9,2,9,4,2,9,4,1,0,3,9,0,1,4,2,-1,0,4,3,1,0,1,2,-2,2,1,-2,3,1,-1,3,4,1,-1,9
1155,Schreierstoren,242,1,4,2,4,-1,-2,-3,2,3,0,4,2,4,9,-1,9,0,-3,4,1,1,1,0,9,-2,-1,-3,9,1,3,1,9,0,1,1,3,4,0,-2,1,9,0,1,1,1,1,4,-3,9,1,1,3,9,1,1,4,0,3,4,9,0,1,9,0,-3,1,1,9,1,0,4,3,3,1,1,2,9,4,4,4,1,9,0,9,-1,4,1,-3,-2,4,-3,0,-2,1,-2,9,0,4,9,0,1,1,1,0,1,-1,3,-2,9,0,4,1,-3,1
1156,Waterlooplein Flea Market,187,-1,1,9,4,9,2,1,3,0,-2,3,9,-3,3,1,9,1,4,3,-1,1,3,0,4,2,3,4,4,-2,4,1,1,4,-2,1,0,-3,1,2,-3,1,-2,-2,0,1,-2,4,4,1,0,0,1,-2,2,1,-3,-3,0,9,0,1,1,3,9,0,4,0,1,3,-1,9,9,4,3,1,9,0,-3,0,-3,1,1,-1,0,1,-3,4,9,1,0,1,1,4,-1,-2,1,1,9,4,-2,-2,1,9,1,0,1,1,1,-2,9,0,1,-3,1
1158,St Nicolaaskerk,201,-3,9,-3,0,1,9,2,-2,9,1,1,-3,4,-2,4,1,0,0,3,-1,-2,1,1,4,0,-1,-3,-2,9,-3,1,-3,-3,1,1,1,-1,0,4,2,-1,-1,1,2,1,9,0,9,0,-3,-1,3,9,2,9,-1,0,-2,1,4,9,4,-1,4,4,1,-1,3,1,9,1,4,-2,4,3,9,4,3,9,0,-2,0,-2,0,3,-3,9,0,3,1,4,-1,0,3,1,1,1,9,-1,-1,0,1,-2,1,2,3,4,-3,0,4,9,-2,9,4
1159,Molly Malone's,218,0,-2,3,4,1,-2,4,-1,3,1,1,-3,1,3,9,-2,9,4,-1,4,1,0,0,9,1,1,2,4,9,1,1,4,-1,1,9,9,-1,1,1,-1,1,1,2,-1,1,1,9,1,4,-1,4,2,0,0,3,0,-3,3,2,9,3,3,0,1,9,2,-2,1,0,1,1,1,3,-2,-2,4,-2,1,1,3,9,3,4,0,0,4,-3,9,-1,1,2,1,3,4,1,4,1,-3,0,0,3,0,4,-1,1,-3,4,1,9,3,-3,1,9,0
